NUM,PAR,CHAR,TARGET,OOV,#Pred: Ours,#RK: Ours,#RK: iPhone
1,1,b,btw,,but,1,1
2,1,t,btw,,btw,2,2
3,1,w,btw,,btw,,3
4,1, ,wikipedia,,i,3,4
5,1,w,wikipedia,,we,4,5
6,1,i,wikipedia,,wikinews,5,6
7,1,k,wikipedia,,wikileaks,6,7
8,1,i,wikipedia,,wikipedia,7,
9,1,p,wikipedia,,wikipedia,,
10,1,e,wikipedia,,wikipedia,,
11,1,d,wikipedia,,wikipedia,,
12,1,i,wikipedia,,wikipedia,,
13,1,a,wikipedia,,wikipedia,,
14,1, ,and,,is,8,8
15,1,a,and,,articles,9,
16,1,n,and,,and,10,
17,1,d,and,,and,,
18,1, ,wikinews,,wikinews,11,9
19,1,w,wikinews,,wikinews,,10
20,1,i,wikinews,,wikinews,,11
21,1,k,wikinews,,wikinews,,12
22,1,i,wikinews,,wikinews,,13
23,1,n,wikinews,,wikinews,,14
24,1,e,wikinews,,wikinews,,15
25,1,w,wikinews,,wikinews,,16
26,1,s,wikinews,,wikinews,,17
27,1, ,have,,contributors,12,18
28,1,h,have,,has,13,19
29,1,a,have,,have,14,
30,1,v,have,,have,,
31,1,e,have,,have,,
32,1, ,necessarily,,been,15,20
33,1,n,necessarily,,not,16,21
34,1,e,necessarily,,never,17,22
35,1,c,necessarily,,necessary,18,23
36,1,e,necessarily,,necessarily,19,
37,1,s,necessarily,,necessarily,,
38,1,s,necessarily,,necessarily,,
39,1,a,necessarily,,necessarily,,
40,1,r,necessarily,,necessarily,,
41,1,i,necessarily,,necessarily,,
42,1,l,necessarily,,necessarily,,
43,1,y,necessarily,,necessarily,,
44,1, ,different,,have,20,24
45,1,d,different,,discussed,21,25
46,1,i,different,,direct,22,26
47,1,f,different,,different,23,27
48,1,f,different,,different,,
49,1,e,different,,different,,
50,1,r,different,,different,,
51,1,e,different,,different,,
52,1,n,different,,different,,
53,1,t,different,,different,,
54,1, ,approaches,,.,24,28
55,1,a,approaches,,and,25,29
56,1,p,approaches,,approaches,26,30
57,1,p,approaches,,approaches,,31
58,1,r,approaches,,approaches,,32
59,1,o,approaches,,approaches,,
60,1,a,approaches,,approaches,,
61,1,c,approaches,,approaches,,
62,1,h,approaches,,approaches,,
63,1,e,approaches,,approaches,,
64,1,s,approaches,,approaches,,
65,1, ,to,,to,27,33
66,1,t,to,,to,,
67,1,o,to,,to,,
68,1, ,neutrality,,the,28,34
69,1,n,neutrality,,not,29,35
70,1,e,neutrality,,new,30,36
71,1,u,neutrality,,neutrality,31,37
72,1,t,neutrality,,neutrality,,
73,1,r,neutrality,,neutrality,,
74,1,a,neutrality,,neutrality,,
75,1,l,neutrality,,neutrality,,
76,1,i,neutrality,,neutrality,,
77,1,t,neutrality,,neutrality,,
78,1,y,neutrality,,neutrality,,
79,1, ,.,,.,32,38
80,1,.,.,,.,,39
81,1, ,an,,i,33,40
82,1,a,an,,and,34,41
83,1,n,an,,anyone,35,42
84,1, ,encyclopedia,,issue,36,43
85,1,e,encyclopedia,,even,37,44
86,1,n,encyclopedia,,entire,38,45
87,1,c,encyclopedia,,encyclopedia,39,
88,1,y,encyclopedia,,encyclopedia,,
89,1,c,encyclopedia,,encyclopedia,,
90,1,l,encyclopedia,,encyclopedia,,
91,1,o,encyclopedia,,encyclopedia,,
92,1,p,encyclopedia,,encyclopedia,,
93,1,e,encyclopedia,,encyclopedia,,
94,1,d,encyclopedia,,encyclopedia,,
95,1,i,encyclopedia,,encyclopedia,,
96,1,a,encyclopedia,,encyclopedia,,
97,1, ,is,,you,40,46
98,1,i,is,,is,41,
99,1,s,is,,is,,
100,1, ,predominately,,a,42,47
101,1,p,predominately,,part,43,48
102,1,r,predominately,,probably,44,49
103,1,e,predominately,,pretty,45,50
